train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
7,1,Similarity,gcn,16,4,PKM2,0.9861839207209446,gcn 16 4 PKM2
8,1,Similarity,gcn,16,4,PKM2,0.9216162605141491,gcn 16 4 PKM2
9,2,Similarity,gcn,16,4,PKM2,0.864983839844941,gcn 16 4 PKM2
10,3,Similarity,gcn,16,4,PKM2,0.4074542533084411,gcn 16 4 PKM2
11,3,Similarity,gcn,16,4,PKM2,0.770313778516206,gcn 16 4 PKM2
12,3,Similarity,gcn,16,4,PKM2,1.4606931667530707,gcn 16 4 PKM2
13,4,Similarity,gcn,16,4,PKM2,1.7358054013314175,gcn 16 4 PKM2
14,5,Similarity,gcn,16,4,PKM2,2.31589575749927,gcn 16 4 PKM2
15,5,Similarity,gcn,16,4,PKM2,2.2119210774241633,gcn 16 4 PKM2
0,1,Similarity,gcn,16,4,VDR,0,gcn 16 4 VDR
1,1,Similarity,gcn,16,4,VDR,0,gcn 16 4 VDR
2,1,Similarity,gcn,16,4,VDR,1.4919885568608175,gcn 16 4 VDR
3,1,Similarity,gcn,16,4,VDR,2.6795027669998523,gcn 16 4 VDR
4,1,Similarity,gcn,16,4,VDR,4.862820710026977,gcn 16 4 VDR
5,1,Similarity,gcn,16,4,VDR,7.788781001065083,gcn 16 4 VDR
6,1,Similarity,gcn,16,4,VDR,8.206060057658847,gcn 16 4 VDR
7,1,Similarity,gcn,16,4,VDR,8.087150975076142,gcn 16 4 VDR
8,1,Similarity,gcn,16,4,VDR,7.984310229173633,gcn 16 4 VDR
9,2,Similarity,gcn,16,4,VDR,7.063488324982936,gcn 16 4 VDR
10,3,Similarity,gcn,16,4,VDR,6.2522853219375865,gcn 16 4 VDR
11,3,Similarity,gcn,16,4,VDR,6.269856770751681,gcn 16 4 VDR
12,3,Similarity,gcn,16,4,VDR,7.333152118213168,gcn 16 4 VDR
13,4,Similarity,gcn,16,4,VDR,6.9627987952106825,gcn 16 4 VDR
14,5,Similarity,gcn,16,4,VDR,6.628055646019492,gcn 16 4 VDR
15,6,Similarity,gcn,16,4,VDR,6.926310119351515,gcn 16 4 VDR
0,1,Similarity,gcn,16,5,ALDH1,0,gcn 16 5 ALDH1
1,11,Similarity,gcn,16,5,ALDH1,-0.4049950622391507,gcn 16 5 ALDH1
2,21,Similarity,gcn,16,5,ALDH1,-0.8611395683170322,gcn 16 5 ALDH1
3,26,Similarity,gcn,16,5,ALDH1,-0.26503650512049104,gcn 16 5 ALDH1
4,35,Similarity,gcn,16,5,ALDH1,0.06891975807561312,gcn 16 5 ALDH1
5,47,Similarity,gcn,16,5,ALDH1,0.05649698660904168,gcn 16 5 ALDH1
6,57,Similarity,gcn,16,5,ALDH1,0.14360600798910372,gcn 16 5 ALDH1
7,60,Similarity,gcn,16,5,ALDH1,0.41526647994578303,gcn 16 5 ALDH1
8,65,Similarity,gcn,16,5,ALDH1,0.4400221484386764,gcn 16 5 ALDH1
9,75,Similarity,gcn,16,5,ALDH1,0.42676420431716355,gcn 16 5 ALDH1
10,78,Similarity,gcn,16,5,ALDH1,0.832040250395536,gcn 16 5 ALDH1
11,81,Similarity,gcn,16,5,ALDH1,1.1671256021314838,gcn 16 5 ALDH1
12,85,Similarity,gcn,16,5,ALDH1,1.2989257313622162,gcn 16 5 ALDH1
13,90,Similarity,gcn,16,5,ALDH1,1.318726667314154,gcn 16 5 ALDH1
14,97,Similarity,gcn,16,5,ALDH1,1.2280791802835287,gcn 16 5 ALDH1
15,109,Similarity,gcn,16,5,ALDH1,1.0281350736069972,gcn 16 5 ALDH1
0,1,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
1,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
2,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
3,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
4,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
5,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
6,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
7,2,Similarity,gcn,16,5,PKM2,0,gcn 16 5 PKM2
8,3,Similarity,gcn,16,5,PKM2,-0.4608081302570747,gcn 16 5 PKM2
9,3,Similarity,gcn,16,5,PKM2,-0.4324919199224704,gcn 16 5 PKM2
10,3,Similarity,gcn,16,5,PKM2,-0.4074542533084411,gcn 16 5 PKM2
11,4,Similarity,gcn,16,5,PKM2,-0.770313778516206,gcn 16 5 PKM2
12,5,Similarity,gcn,16,5,PKM2,-1.0955198750648032,gcn 16 5 PKM2
13,5,Similarity,gcn,16,5,PKM2,-0.6943221605325673,gcn 16 5 PKM2
14,5,Similarity,gcn,16,5,PKM2,-0.6616845021426485,gcn 16 5 PKM2
15,5,Similarity,gcn,16,5,PKM2,-0.631977450692618,gcn 16 5 PKM2
0,1,Similarity,gcn,16,5,VDR,0,gcn 16 5 VDR
1,1,Similarity,gcn,16,5,VDR,0,gcn 16 5 VDR
2,1,Similarity,gcn,16,5,VDR,0,gcn 16 5 VDR
3,2,Similarity,gcn,16,5,VDR,-0.669875691749963,gcn 16 5 VDR
4,2,Similarity,gcn,16,5,VDR,0,gcn 16 5 VDR
5,2,Similarity,gcn,16,5,VDR,0.5563415000760774,gcn 16 5 VDR
6,2,Similarity,gcn,16,5,VDR,2.0515150144147114,gcn 16 5 VDR
7,2,Similarity,gcn,16,5,VDR,1.9028590529590925,gcn 16 5 VDR
8,2,Similarity,gcn,16,5,VDR,1.7742911620385846,gcn 16 5 VDR
9,2,Similarity,gcn,16,5,VDR,1.6619972529371614,gcn 16 5 VDR
10,2,Similarity,gcn,16,5,VDR,1.9538391631054959,gcn 16 5 VDR
11,2,Similarity,gcn,16,5,VDR,2.9505208332949087,gcn 16 5 VDR
12,2,Similarity,gcn,16,5,VDR,2.793581759319302,gcn 16 5 VDR
13,2,Similarity,gcn,16,5,VDR,2.6524947791278786,gcn 16 5 VDR
14,4,Similarity,gcn,16,5,VDR,2.8405952768654963,gcn 16 5 VDR
15,5,Similarity,gcn,16,5,VDR,2.409151345861397,gcn 16 5 VDR
0,1,Similarity,gcn,16,6,ALDH1,0,gcn 16 6 ALDH1
1,6,Similarity,gcn,16,6,ALDH1,-0.20249753111957536,gcn 16 6 ALDH1
2,12,Similarity,gcn,16,6,ALDH1,-0.4920797533240183,gcn 16 6 ALDH1
3,18,Similarity,gcn,16,6,ALDH1,0.4417275085341523,gcn 16 6 ALDH1
4,25,Similarity,gcn,16,6,ALDH1,0.8270370969073573,gcn 16 6 ALDH1
5,35,Similarity,gcn,16,6,ALDH1,0.9604487723537067,gcn 16 6 ALDH1
6,50,Similarity,gcn,16,6,ALDH1,1.244585402572235,gcn 16 6 ALDH1
7,73,Similarity,gcn,16,6,ALDH1,0.8720596078861447,gcn 16 6 ALDH1
8,84,Similarity,gcn,16,6,ALDH1,0.7700387597676839,gcn 16 6 ALDH1
9,95,Similarity,gcn,16,6,ALDH1,0.5580762671839832,gcn 16 6 ALDH1
10,112,Similarity,gcn,16,6,ALDH1,0.4160201251977673,gcn 16 6 ALDH1
11,122,Similarity,gcn,16,6,ALDH1,0.5971340289975031,gcn 16 6 ALDH1
12,129,Similarity,gcn,16,6,ALDH1,0.774359570619783,gcn 16 6 ALDH1
