train_cycle,seed,acquisition_method,architecture,bias,metric,value
13,2,Random,mlp,random,MolWt,387.4610000000001
13,2,Random,mlp,random,MolWt,483.95500000000027
13,2,Random,mlp,random,MolWt,473.5510000000003
13,2,Random,mlp,random,MolWt,445.475
13,2,Random,mlp,random,MolWt,374.4210000000001
13,2,Random,mlp,random,MolWt,339.1540000000001
13,2,Random,mlp,random,MolWt,311.77200000000005
13,2,Random,mlp,random,MolWt,435.50500000000017
13,2,Random,mlp,random,MolWt,390.5160000000002
13,2,Random,mlp,random,MolWt,432.9290000000002
13,2,Random,mlp,random,MolWt,334.72900000000004
13,2,Random,mlp,random,MolWt,309.412
13,2,Random,mlp,random,MolWt,377.3560000000001
13,2,Random,mlp,random,MolWt,293.34900000000005
13,2,Random,mlp,random,MolWt,342.4050000000001
13,2,Random,mlp,random,MolWt,586.6460000000003
13,2,Random,mlp,random,MolWt,333.558
14,2,Random,mlp,random,MolWt,322.38800000000003
14,2,Random,mlp,random,MolWt,390.8660000000001
14,2,Random,mlp,random,MolWt,364.8160000000001
14,2,Random,mlp,random,MolWt,330.40800000000013
14,2,Random,mlp,random,MolWt,347.439
14,2,Random,mlp,random,MolWt,453.52300000000025
14,2,Random,mlp,random,MolWt,371.3920000000001
14,2,Random,mlp,random,MolWt,372.4100000000001
14,2,Random,mlp,random,MolWt,382.301
14,2,Random,mlp,random,MolWt,477.58300000000014
14,2,Random,mlp,random,MolWt,321.33400000000006
14,2,Random,mlp,random,MolWt,421.5410000000002
14,2,Random,mlp,random,MolWt,285.347
14,2,Random,mlp,random,MolWt,375.42
14,2,Random,mlp,random,MolWt,336.1890000000001
14,2,Random,mlp,random,MolWt,289.3310000000001
14,2,Random,mlp,random,MolWt,350.3740000000001
14,2,Random,mlp,random,MolWt,394.5210000000002
14,2,Random,mlp,random,MolWt,424.9560000000002
14,2,Random,mlp,random,MolWt,285.377
14,2,Random,mlp,random,MolWt,466.46800000000025
14,2,Random,mlp,random,MolWt,386.93000000000006
14,2,Random,mlp,random,MolWt,249.291
14,2,Random,mlp,random,MolWt,396.5150000000001
14,2,Random,mlp,random,MolWt,297.19800000000004
14,2,Random,mlp,random,MolWt,345.25000000000017
